"My Brest Friend Slipcover, Leaf",I bought this cover as a spare for my pillow and it is not as well made as the original cover - the fabric is thinner and the seams do not fit the outline of the foam pillow very well. It's still usable though. Okay for the price.,3
"Safety 1st Steady Grip Infant Clipper, Colors May Vary","The clipper blades don't seat properly, so they don't cut cleanly. The ergonomic design should have made this a great product, unfortunately Safety 1st's manufacturing was poor.",1
Sliding Closet Door Lock 2-Pack,This baby proofing item does not stick well at all. It fell off door and took some paint with it. It's a wast of money. If the item would stay in place it would be wonderful but it's not!!,1
DEX Products Electric Baby Food Processor,"I really like this product.  I have 3 children and never used a food processor until now (my 3rd baby).  I realize I spent so much money on jarred foods that I didn't need to.It was simple, put the food in (you can add a little liquid if you want it smoother - but i found it wasn't absolutely neccessary).  Push the top down and presto - in about 10 seconds you have baby food.easy to clean, comes apart very easily and goes back together easily.There are only 4 parts- the container the food goes in, the blade, the cover and the motor.  Nothing to lose.I reccomend this product to anyone who is short on time (3 kids (12, 3, 8mos), my husband and I both work full time +, swimmng lessons, 2 pets,  needless to say we got alot going on and making the food actually makes life easier w/ this product!",4
Graco Bumper Jumper in Little Jungle,Excellent buy except for one thing: The height adjustment needs to be extended. My grandson will be able to use it for only about two months unless I employ a method of shortening the hanging strap that is outside what the jumper itself provides. Not cool.,4
The Shrunks Indoor Toddler Inflatable Travel Bed,My 4 year old loves sleeping in her own bed when we go on vacation!!It is the perfect size for her and doesn't take up much room in the car.,5
Bumble Bags Kimberly Tote Bag Blue Latte,"This bag is exactly what I wanted. One of the big plusses is that it has lots of room with lots of compartments. I had the bag for 3 weeks before I realized it had an inside zippered compartment lol When I saw the changing pad was attached with velcro, I figured Id never use it (I never use the other ones so I figured this was no different). Wrong. I love that changing pad lol I can put the diaper bag on the end of one of those plastic changing tables like in Target, pull out the changing pad, and I have everything accessible to me! It's also really soft and pliable so its not bulky at all. Oh, and another good thing about this bag is that it isnt forever falling off my shoulder. Nothing is more aggrevating than carrying an infant carrier and a diaper bag and the diaper bag keeps sliding off your shoulder. No problems with this one! Plus it fits on my stroller wonderfully! I have a Peg Perego and it fits perfectly.",5
Bummis Super Whisper Wrap Diaper Cover: Medium (15-30lbs),"This is the first cover I've tried and it's great.  I don't plan on trying others.  It leaked the first time I used it because I hadn't adjusted it properly but since I check the fit, no leaks!!  I use cloth while at home to cut down on costs.  I don't recommend them for overnight...but if you want something affordable for during the day this is a winner.",4
"Leachco Safer Bather Infant Bath Pad, Blue Fish","We used this product for my son's sponge baths when he was first brought home.  He loved these baths so much that we actually put off tub baths for quite a while.  It turns out he loves tub baths too!  We actually used this on our changing table (with waterproof lap pads over it, so as not to get it too dirty) for his early changings because while he loved sponge baths, he hated having his diaper changed.  This tactic definitely helped.  It's also very portable if you have to give baths over at Grandma's - it can be used in a sink!  Most people haven't heard of this product, so it makes a great and unique shower gift.",5
Tommee Tippee Electric Steam Sterilizer,"I bought this sterilizer because 1) I had great results with the Tommee Tippee bottles; 2) I was tired of having to boil said bottles.The only reason why I'm no giving it five stars is the fact that after a few uses, the center pole that holds the upper tray (for the nipples and lids) is bending at the notch that latches it to the lower tray (that holds the bottles.) As long as it doesn't completely go on us in the future, I can live with that. Apart from that, great price, great results, gets the bottles sterilized in five minutes, and it's a breeze to use. You put the bottles, nipples, and lids in, you press the on/off button, and five minutes later, the machine shuts off on its own. Then it's a matter of waiting for the machine to cool down and you're ready to go. I'd definitely recommended to other people.",4
Baby One Size Washable Reusable Adjustable Cloth Pocket Diaper - Yellow,"I really like that the diaper is very affordable, no problems with leaking. Crossover tabs to fit the tiniest of babies. Wish I had this diaper when my little guy was a newborn.",5
"Safety 1st Sit Booster Seat, Green",My toddlers are 3 and and 2 and they needed just a simple seat for the table to eat. This works perfect.,5
"Britax Boulevard 65 CS Click &amp; Safe Convertible Car Seat, Cowmooflage","My son is 9 months old and so we position the seat facing the rear.  He seem so comfortable with the soft  fabric that he dozes off soon after we take off!The only comment I have is that when we placed the seat at the backseat of my sister's Lexus SUV, due to the slope of the backseat, the carseat appears to be be upright rather than reclined,and I'm sure we've adjusted it in the right reclined position as recommended on the instruction for rear-facing, thus his head slumps forward...",4
"Skip Hop Grab &amp; Go Wet/Dry Diaper Bag, Chevron","This bag is good quality that actually surprised me when I got it.  I guess I expect most wet bags to be more cotton feeling and lighter while this one feels pretty sturdy and robust.  I really like the dry part of the bag is mesh so that I can easily see what I have in there.  I have had times where I have forgotten things in the dry part of the bag because I didn't remember that I had anything in there.I would compare this to Planet Wise Wet Dry Bag - Owl for size.  It will easily fit about 4-6 dirty cloth diapers in it (I mainly use bum genius for specific reference).  The outside pocket doesn't give a lot of room for cloth diapers, but it would be good for one or two or a change of clothes.Great wet bag that would be great for a day out with cloth diapers or even better for use at the pool.  I know I will be using this a lot this summer.",5
Baby Food Storage Containers with Lids - 12/5oz Jar Set BPA Free - Freezer Safe,"Absolutely love it, perfect size, BPA free, MADE IN USA!!! Really great product, easy to clean. Happy that I purchased it&#128522;",5
Boon Squirt Baby Food Dispensing Spoon in Orange,"It is a bit bulky in order to hold a full jar of baby food (4-5 oz). The squirting works very well, especially for liquid-y food. However, the rather deep spoon is very close to the tank, and in order to completely empty the spoon my baby had to bump his nose right into the tank. I don't know any solution to this problem, since a longer 'neck' would also mean a hard-to-clean food pipeline running through (right now there's a simple hole between tank and spoon).I was enthusiastic when i saw the product the first time, but used it less than expected on a daily basis.",4
Orbit Baby Toddler Car Seat G2 - Black,"I absolutely love all of the orbit g2 line except for this seat. i have had many car seats for my kids and this is by far the bulkiest, least ergonomic seat i have ever purchased. I should have heeded the 3 star warning. the angle at which the seat is makes it hard for my son to get comfortable to sit let alone nap. He screams miserably everytime he sits in it. its very very cramped also. the head pads on the side are huge. its really disappointing bc i have spent all of this money and it will be taking a trip to our local charity having never been used longer than 5 minutes. its really that awful. i really hope they come out with a better design bc the product is very nice looking. it just doesnt work well at all. sorry orbit but i am very disappointed hope you come out with a roomier better angled seat for my next one.",2
The First Years Sure Comfort Newborn to Toddler Tub,"Love the tub.  It makes bath time fun for both of us.  I looked at alot of tubs, and this one is the best for my 3 month old.  Not sure how anyone could not love this tub.",5
Fisher Price Soothing Massage Bouncer,"I just bought this bouncer, and I wished I had bought it weeks ago!  My baby doesn't like me to put her down, and when I do to try to get things done around the house, she cries, and it drives me nuts to just let her scream!  So I got this bouncer, and the first time I put her in it, I turned on the vibration and the back massage, and she fell asleep immediately!The things I love about it are:1) The vibration doesn't turn off--it stays on until you turn it off.2) The back massage is a really nice feature--it is very gentle, I put my hands on it to see what it felt like.  My baby loves having her back patted, so this soothes her instantly.3) It has a handle on the top, so if your baby falls asleep in it (which WILL happen!), then you can just pick it up and carry it to the nursery, your bedroom, etc.4) It has really nice high sides, so my newborn's head doesn't flop around--she can rest it up against the side and snooze away.5) The toys are removable from the velcro tabs and can be used to give your baby a massage.  My baby really likes the rattle toy, and I feel like I can really interact with her when I shake it.  And when the toys are hanging from the velcro tabs, she just loves batting at them!I only have a couple very minor gripes:1) I wish the toys hung down in front of her face.  There are only velcro loops for the toys on the sides, so the rattle just rests against the side of the bouncer and doesn't rattle unless I manually rattle it for her.2) The motor is sooooo quiet (which is great!), but it's easy to forget that you have it turned on, then you run down the batteries.My baby takes her afternoon nap in this every day.  As soon as she falls asleep, I can just carry it to the nursery where she takes a nice 2 hour nap uninterrupted!  Plus, the music is not annoying and loud, like on many of the other bouncers out there.  Definitely worth the money to buy this product!",4
Lotus Travel Crib and Portable Baby Playard,"What a wonderful product! It does exactly as advertised- light weight, very quick setup and comfortable for baby. My daughter is 15 months old and not little- she is very long like daddy and I was worried that her crazy sleeping patterns might wake her up in a smaller crib, but she did great. We just got back from 10 days in Mexico (three different hotels) and she slept every one in the Lotus without a problem. I did use a memory topper since she has one at home, and she is old enough that I don't have to worry about suffocation. I am not one to bash another company, but I will say this is my second travel crib after first buying the one that sets up like a tent (thinking it would pack in the suitcase easier) is a total waste of money and finger nails!! Buy this for vacations and trips to grandmas you will not be disappointed!! When baby number 2 comes along I will buy the bassinet. Thank you Lotus for making a product that makes traveling with small children easy.",5
"Contours Options 3 Wheel Stroller, Berkley","Easy to assemble, rides smooth, and looks nice!  We love this stroller for our now 6 month old.  I really like that the baby can face me now and I can turn the seat to face forward later.",5
Kalencom Potette Disposable Liners - On The Go Potty Liner Re-Fills,I would recommend this to any family potty training or traveling.  We've even used it at the park when the toilets were closed.  We always have ours in the trunk for emergencies.  Fairly compact & quite sturdy.  Even my tall DD didn't have a problem using it in a pinch.,5
"WhodaThought Mrs. Smith's Elite Diaper Bag, Pitch",I received this bag as a gift. It is stylish but too girly for my husband to carry around. It holds a lot of stuff. I used it to travel on a cross country flight with a 5 month old. There are 3 insulated compartments for bottles. The drawer on the bottom is ingenious! It made everything really easy to find. Yet I find myself putting this diaper bag away for something else. I think that it is too big for everyday use. The backpack feature is really uncomfortable and makes it difficult to get into the back pouch when using it this way. The zipper on the top broke. I contacted the company and never heard from them in regards to this. Disappointed :  If the company had gotten back to me I may have given it 4 stars.,3
"Stokke Tripp Trapp Baby Set, Pale Pink","Bought for our grandson as an infant and after. His parent's love it ant he loves being part dinner! Best thing, it will grow with him!",5
"Summer Infant Lil' Loo Potty, Pink","I bought a few potty's for over $20 to no success. I love this potty b/c:Pros:1. IT's CHEAP! Yes, I can afford to have 2 of these around our house to make it easy for her to use it2. Nice little urinal that's deep enough to compensate for possible splash back up for #2s; it's quite deep compared to  other potty's on the market3. Easy to clean4. Simple. It is simple without all the bells and whistles, making the child concentrate on doing their business. With other potty's my child was more interested in pressing the buttons than actually peeing in it :(5. Did I mention it's CHEAP! lolCons:1. B/C it's so easy to clean and pick up...it's also easy for my DD toddler to pick up as well--so when she does pee...she has picked up the urinal portion and spilled it around to show me her successful attempts!! :) So if you are training your kid, maybe try to incorporate not letting them pick it up after.I'm glad I got this potty--and so happy my DD is excited to use it!",5
Philips AVENT BPA Free Classic Polypropylene Essentials Gift Set,ok. e x c e l l e n t . . . . . . . . . ...v,5
"Honeysuckle Breast Milk Storage Bags, 75 Ct (3 Boxes of 25 pcs)","Great customer service and good price for product. There is an expensive market for breastfeeding families, especially with storing milk. This was the best price and product I found.",4
"Cosco Juvenile Funsport Play Yard, Kontiki","This is just what I needed for my 9 month old Granddaughter... She loves it!  and so do I!! Very nice price too! Thank you seller.  I would recommend this to anyone, us Grandparents Especially! You can't go wrong with this...",5
Levana BABYVIEW20 Interference Free Digital Wireless Video Baby Monitor with Night Light Lullaby Camera,I gave this to my son and daughter-in-law it is wonderful and they are very happy with it. Really nice gift.,5
"Joovy Caboose Stand On Tandem Stroller, Black","We have had this stroller for about six months and is has been a life saver.  My husband is currently away on a military assignment and I have to manage the kids by myself.  The eight month old loves to be able to sit and have a tray for toys.  There are two cup holders on his tray so one can be used for him and one for his brother.  My three year old loves all the options this stroller gives him.  He can sit, stand or hold on to the bar and walk beside it.  In fact all I have to do to get him back in the stroller is to say he will be strapped in if he doesn't come.  It is very important when they stand on the back to have them hold on to the handles and have the support strap up.  The basket is hard to get to but I use my son to get things in and out of it.  He feels very important doing that.  I appreciate the independence my son is learning and at the same time the control I have to keep him safe.  The zoo has never been so easy and fun... not to mention shopping.",5
"Dexbaby Nursery Organizer, White","Not like the picture, the wipe holder falls forward and the cardboard support does not help.  Not as big as the picture makes it look either.  Disappointing.",1
"Motorola MBP36 Remote Wireless Video Baby Monitor with 3.5-Inch Color LCD Screen, Infrared Night Vision and Remote Camera Pan, Tilt, and Zoom","It does everything it promises and in the couple of months ive had it theres been no problems, no bad feedback, etc.However i am thinking about returning it bc there is no way to childproof the sideways adapters the cameras come with and i have caught my son on more than one occasion plugging and unplugging it back into the wall. Ive even went to best buy to buy a 'universal adapter' to replace it w but they are $41 each and i need two. Im not paying $80 on top of the $300 i just paid for these. I cant believe they would make such a great product w such an obvious flaw. It would work fine for a non-mobile baby but for that much $ i think u should be able to get some 'toddler-use' out of it too.",3
Chicco Caddy Stroller in Navy,"I got this stroller because my 70 yr old mother in law who comes over to my house to watch our 5 month old daughter, wasn't able to maneuver the big travel system stroller we have. This stroller has been a total relief for her and my daughter loves it!!  The only downside to it (as I am sure is with a lot of smaller umbrella type strollers) the shade canopy doesn't provide a lot of shade protection from the sun, so we have to be very careful to keep out of the sun. Also, this stroller is not meant for very tall people, such as my husband who is 6'2"", as he has to lean over and often finds himself kicking the wheels. It is just perfect for my mother in law and myself who are 5ft and 5'1"" though.  Overall, this is a very sturdy stroller at a reasonable price!",4
"Joovy Room&sup2; Portable Playard, Red",This was great to use indoors or outside this summer and I don't mind the added weight of the &#34;floor&#34;.  Easy to pack and travel with as well!,5
"American Baby Company Heavenly Soft Chenille Fitted Contoured Changing Pad Cover,Ecru",This is a lovely changing pad cover. Quality make and super soft! Not the kind of soft that goes away with washing either. My only critique would be the placement of the safety strap wholes. They are awkward. Otherwise fabulous product.,4
"Super Undies! Bedwetting Pants, The Web Slinger (Red), Small","Our son has only been able to get around these, not through them. So these have saved washing the bed numerous times. I consider them a must have, but make sure that they are all the way up and positioned correctly.",5
"HALO SleepSack 100% Organic Cotton Wearable Blanket, Cowboy, Small","The bag is pretty soft and light. The material seems good quality. The zipper has a cloth backing to not bother your child's skin, however, it stops short of cover the start of the zipper by your child's chin. The metal part has some relatively sharp and uncomfortable edge. I wish Halo stepped it up and made a cover for that part like the Grobag.",3
"Infantino Twist and Fold Activity Gym, Vintage Boy","I purchased this for my three month old son and he and I love it!  It is beautiful and very user friendly.  At three months he doesn't do much other than look around at all the colors and animals.  But since we have purchased it he has gotten motivated to reach out for the objects in front of him.  I love the pop up and fold up design, all though it is so beautiful I rarely fold it away!  It has extra loops to attach other items to it, which I love.  All in all I am 100% happy.",5
Sassy Crib and Floor Mirror,We attached the mirror to the side of our baby's swing chair at first then on the floor for him to do tummy time with. He loved it.,5
Bink Link Pacifier Attacher By Fruitabees - Skully,"The clip broke 2 days after I started using it for my son. But I love the design, so I bought a second one - keeping in mind the clip is not the sturdiest. The new one is holding up so far. Maybe the first was just a faulty one.",3
"Gerber Graduates BPA Free 2 Pack Fun Grips Soft Starter Spill Proof Cup 2 Handle, 6 Ounce, Vertical, Colors May Vary","After a lot of looking around the ""sippy cup"" aisle, my 7 month old daughter and I decided on these cups.  They are going back to the store.  It is impossible to line up the spout evenly between the two handles.  There is little point in having a cup with handles if the spout ends up sideways and right above your baby's hand. I think we might look for a trainer cup without handles.",1
"Razbaby RaZ-berry Teether, Red","This is a great teether.  My baby loves it.  She plays with it all the time and she does not seems to get tired of chewing on it.  The material is not too hard or soft and is just perfect to soothe baby's gums.  The teether has lots of texture in the design.  I have seen my daughter chew on the textured raspberry part, the ""leaves"" and even the handle as it too has a textured design. I love this one!!  On a side note, one of my other kids must have put this in the freezer the other day - I would not have tried to do that just because I wouldn't know if it could get damaged like some of the other teething toys out there.  It was fine and the baby seemed to enjoy it fresh out of the freezer too.",5
"ElecRosa Electrical Outlet Cover, Ivory",Absolutely love these! Clean look and unobtrusive. I did order these twice and the more recent ones are easier to slide open; almost too easy. I'm going to have to monitor things closely as baby gets stronger. IMPORTANT: these are only for outlets with one central screw as you can see in the pic. I was bummed when i went to install these in my kitchen also and only then realized those that outlet covers require two screws. Check your outlets for this issue before ordering.,5
"green sprouts Silicone Freezer Tray, Green","Given that every other type of ice cube tray that doesn't leach chemicals is expensive, this product is the best option. Just be aware that it does not work like a typical ice cube tray where you twist it and the cubes spill out. The cubes need to be pushed out from the bottom with my fingers and my hands get cold in the process. So they are kinda annoying. But it's worth it for the price and the non-leaching material. Let me know if anyone can find a BPA/Phalate/PVC free traditional ice cube tray under $8.",3
The First Years Soothing Diaper Rash Cream,"Bought for my daughter for her diaper rash. Rash is usually gone after 2-3 applications. Very good product. Would highly recommend. Yes, it is not as thick as ""Butt Paste"" but it shouldn't matter because it works wonder. Have tried ""Butt Paste"" which didn't work.",5
"Boon Groovy + Modware Interlocking Plate and Bowl Set with Utensils,Blue/Orange","These plates are small but so is my child so it doesn't bother me. The plate, spoon and fork all measure 5 and 1/2 inches. The bowl is 4 inches with 3/4 inch sides and the larger of the two small blue bowls holds 1 tablespoon of liquid. Having the food separated into small dishes keeps new eaters from having to chase their food around. The little dip containers are movable and the whole deal has a great nonslip ring on the bottom. The fork and spoon are also non-Slip so even wet hands can grip them.",5
Sassy Earth Brights Wooden Happy Caterpillar Toy,"This is one of my favorite Earth Brights toys!  The caterpillar has a fabric head that squeaks if it squeezed(or chewed on), the middle links are wood and have fabric ""legs"", the back end also has fabric legs that crinkle and the there is also a tail, these fabric pieces are great because they have different textures and colors.  My son loves the smiley face too!  The lack of plastic is always a plus.",5
"Baby Aspen Let The Fin Begin Terry Shark Robe, Blue, 0-9 Months",I recently bought this for my 2 month old.  He is somewhat long and lean but not abnormally so.  This is surpisingly small.  It says it fits 0-6month but it barely covers his rump or goes around him.  It's very cute but he does not like it becuase he gets cold after his baths because so wet skin is exposed.  It's also not as soft as i would have expected.  It's a terry cloth but not the softest.,2
"Joovy Spoon Walker, Greenie",My grandson's still a small for it so he's only able to sit in it and occasionally row backwards when his toes brush the floor. The size is a little bigger than I had thought so it takes up more room than I would like so it gets stuck in places.,4
"Prince Lionheart Table Edge Guard with 4 Corners, Grey","A lot of reviews say that the stickiness of the tape isn't that great, and it isn't- but so far it's not a problem. The guards are great because we have a fake stone fireplace so the edge is much more uneven than brick, but the guard works great. A definite for anyone with a fireplace and a squishy little handful of a baby :)",5
"Boon Benders Adaptable Utensils, Blue Raspberry/Tangerine","These are the perfect size and shape for getting your 6 month old started on food.  My LO was able to grip the spoon and fork easily just shy of 6 months.  I had to put on the sweet potato, papaya, etc. but she was able to get the food into her mouth. It's also great that she's able to practice with cutlery while we're all having a meal.  Even if she's not trying everything we're having she can participate.",5
Girl Newborn Bibs 3 Pack in Lilac / Pale Pink / Fuchsia,Just what we needed but don't expect to use them long. Babies will outgrow the smaller neck size very quickly. Comes with two snaps and our newborn was unable to even use the one for smallest fit.,4
